Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,Magnitude,Magnitude Scale,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
Natural,Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,Guangzhou,3000.0,Km2,35.86166,104.195397,1915,,,1915,,,
Natural,Hydrological,Flood,Flood (General),CHN,China,Eastern Asia,Asia,,150000.0,Km2,35.86166,104.195397,1935,,,1935,,,142000.0
Natural,Hydrological,Flood,Flood (General),IND,India,Southern Asia,Asia,"Brahmaputra, Dhemaji, North Lakhimpur, Jorhat, Tezpur sub-divisions",2600.0,Km2,20.593684,78.96288,1971,6.0,,1971,6.0,,
Natural,Hydrological,Flood,Flood (General),DZA,Algeria,Northern Africa,Africa,"Northeast, Tlemcen",770.0,Km2,28.033886,1.659626,1973,3.0,,1973,3.0,,21.0
Natural,Hydrological,Flood,Flood (General),ECU,Ecuador,Latin America and the Caribbean,Americas,,15000.0,Km2,-1.831239,-78.183406,1973,2.0,,1973,2.0,,
Natural,Hydrological,Flood,Flood (General),ETH,Ethiopia,Sub-Saharan Africa,Africa,Awash River Valley,18.0,Km2,9.145,40.489673,1977,11.0,,1977,11.0,,7.0
Natural,Hydrological,Flood,Flood (General),VCT,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,,140.0,Km2,12.984305,-61.287228,1977,10.0,18.0,1977,10.0,18.0,
Natural,Hydrological,Flood,Flood (General),MOZ,Mozambique,Sub-Saharan Africa,Africa,Zambesi valley,615.0,Km2,-18.665695,35.529562,1978,3.0,,1978,3.0,,40.0
Natural,Hydrological,Flood,Flood (General),PAK,Pakistan,Southern Asia,Asia,,12789.0,Km2,30.375321,69.345116,1979,,,1979,,,13.0
Natural,Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,"Hubei province, West Shangai",12140.0,Km2,35.86166,104.195397,1980,9.0,2.0,1980,9.0,2.0,
Natural,Hydrological,Flood,Flood (General),PAK,Pakistan,Southern Asia,Asia,,1927.0,Km2,30.375321,69.345116,1980,,,1980,,,75.0
Natural,Hydrological,Flood,Flash flood,SOM,Somalia,Sub-Saharan Africa,Africa,"Hiran, Juba provinces",1205.0,Km2,5.152149,46.199616,1981,4.0,,1981,4.0,,5.0
Natural,Hydrological,Flood,Flood (General),GIN,Guinea,Sub-Saharan Africa,Africa,"Niany, Tieney, Sirakoro, Balandougoubal, Dougou, Sidikila, Kama, Goinso",25.0,Km2,9.945587,-9.696645,1981,9.0,,1981,9.0,,
Natural,Hydrological,Flood,Flood (General),SUN,Soviet Union,Eastern Europe,Europe,East,150.0,Km2,61.52401,105.318756,1982,8.0,,1982,8.0,,
Natural,Hydrological,Flood,Flood (General),LKA,Sri Lanka,Southern Asia,Asia,Kalutara district + Southwestern districts,20234.0,Km2,7.873054,80.771797,1984,5.0,24.0,1984,5.0,24.0,45.0
Natural,Hydrological,Flood,Flood (General),KOR,Republic of Korea,Eastern Asia,Asia,"Kyunggido, Kangwondo, Chungchongdo, Kyongsangdo, Chollado",819.0,Km2,35.907757,127.766922,1984,8.0,31.0,1984,8.0,31.0,166.0
Natural,Hydrological,Flood,Flood (General),COL,Colombia,Latin America and the Caribbean,Americas,"Cauca, Valle, Caldas, Risaralda, Antioquia, Cordoba, Sucre, Bolivar, Cundinamarca, Magdalena, Cesar, Santander, Choco, Quindio departments",1680.0,Km2,4.570868,-74.297333,1984,11.0,,1984,11.0,,50.0
Natural,Hydrological,Flood,Flood (General),THA,Thailand,South-eastern Asia,Asia,Bangkok area,225.0,Km2,15.870032,100.992541,1984,1.0,19.0,1984,1.0,19.0,
Natural,Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,"Monroe, Macomb, Wayne counties (Michigan), Toledo (Ohio)",16880.0,Km2,37.09024,-95.712891,1985,3.0,30.0,1985,3.0,30.0,
Natural,Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,"San Patricio, Nueces counties (Texas)",17190.0,Km2,37.09024,-95.712891,1985,4.0,11.0,1985,4.0,11.0,1.0
Natural,Hydrological,Flood,Riverine flood,USA,United States of America,Northern America,Americas,Marquette county (Michigan),5120.0,Km2,37.09024,-95.712891,1985,4.0,24.0,1985,4.0,24.0,
Natural,Hydrological,Flood,Flash flood,IDN,Indonesia,South-eastern Asia,Asia,Northern Sulawesi,16540.0,Km2,-0.789275,113.921327,1985,2.0,4.0,1985,2.0,4.0,21.0
Natural,Hydrological,Flood,Riverine flood,BGD,Bangladesh,Southern Asia,Asia,"Maulvibazar, Sylhet district",8910.0,Km2,23.684994,90.356331,1985,6.0,,1985,6.0,,7.0
Natural,Hydrological,Flood,Riverine flood,DOM,Dominican Republic,Latin America and the Caribbean,Americas,,7760.0,Km2,18.735693,-70.162651,1985,9.0,14.0,1985,9.0,14.0,12.0
Natural,Hydrological,Flood,Riverine flood,NGA,Nigeria,Sub-Saharan Africa,Africa,Central,74620.0,Km2,9.081999,8.675277,1985,9.0,23.0,1985,9.0,23.0,
Natural,Hydrological,Flood,Flood (General),THA,Thailand,South-eastern Asia,Asia,"Suan Phung, Damnoen Saduak districts (Ratchaburi province)",13910.0,Km2,15.870032,100.992541,1985,10.0,12.0,1985,10.0,12.0,18.0
Natural,Hydrological,Flood,Riverine flood,BRA,Brazil,Latin America and the Caribbean,Americas,"Ceara, Maranhao, Piaui, Rio Grande do Norte, Paraiba, Pernambuco",678500.0,Km2,-14.235004,-51.92528,1985,4.0,,1985,4.0,,100.0
Natural,Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,Asia,"Central and East Java, Eastern Isl.",77090.0,Km2,-0.789275,113.921327,1985,2.0,19.0,1985,2.0,19.0,10.0
Natural,Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,Asia,"Guangxi, Hunan provinces",458670.0,Km2,35.86166,104.195397,1985,6.0,,1985,6.0,,64.0
